﻿grade	subject	unit	question	answer	choice2	choice3	choice4	explanation	difficulty	tags
中学1年	数学	比例反比例	yがxに反比例し、x = 2 のとき y = 6 である。比例定数aを求めなさい。	12	3	4	8	反比例の式 y = a / x において a = xy なので、2×6 = 12 となります。	基本	関数
中学1年	数学	比例反比例	yがxに反比例し、x=2 のとき y=6 である。x=-3 のときの yの値を求めなさい。	-4	4	-12	12	比例定数 a=xy=12 なので、y=12/x。x=-3 を代入して y=-4 です。	基本	関数
中学1年	数学	比例反比例	yがxに反比例し、x=3のときy=12である。yをxの式で表しなさい。	y=36/x	y=4x	y=x/4	y=12/x	反比例の式 y=a/x に代入すると a=xy=3×12=36 となります。[16]	基本	関数
中学1年	数学	比例反比例	yがxに反比例し、x=3のときy=4である。比例定数aを求めなさい。	12	1.33	7	1	反比例の式 y=a/x より a=xy なので 3×4=12 です。	基本	関数
中学1年	数学	比例反比例	yがxに反比例し、x=4のときy=6である。x=3のときのyの値を求めなさい。	8	4.5	12	2	比例定数 a=xy=24 なので、y=24/x。x=3 を代入して y=8 です。	標準	関数
中学1年	数学	比例反比例	yがxに反比例し、x=4のときy=6である。比例定数を求めなさい。	24	1.5	2	10	反比例 y=a/x において、比例定数 a は x×y で求められるため 4×6=24 です。	基本	関数
中学1年	数学	比例反比例	yがxに比例し、x=2のときy=-10である。比例定数を求めなさい。	-5	5	-20	-0.2	比例の式 y=ax に代入して -10=2a より、a=-5 となります。	基本	関数
中学1年	数学	比例反比例	yがxに比例し、xの値が2倍になるとyの値はどうなりますか。	2倍になる	1/2倍になる	変わらない	4倍になる	y=axの形では、xの変化に比例してyも同じ倍率で変化します [12]。	基本	関数
中学1年	数学	比例反比例	yはxに反比例し、x=3のときy=8である。x=6のときのyの値を求めなさい。	4	16	2	24	比例定数a=xy=24。y=24/x に x=6 を代入して y=4 を求めます。	標準	関数
中学1年	数学	比例反比例	yはxに比例し、x=5のときy=10である。yをxの式で表しなさい。	y = 2x	y = 1/2x	y = 50x	y = x+5	y=axに代入して、10=5aより比例定数a=2を求めます。	基本	関数
中学1年	数学	比例反比例	yはxに比例し、グラフが点"4, -12"を通るとき、比例定数aを求めなさい。	-3	3	-48	-0.25	y = ax に代入して -12 = 4a より、a = -3 となります。	基本	関数
中学1年	数学	比例反比例	比例 y = ax のグラフで a > 0 のとき、グラフの形はどうなりますか。	右上がりの直線	右下がりの直線	原点を通らない直線	双曲線	比例のグラフは必ず原点を通り、比例定数が正のときは右上がりになります。	基本	関数
中学1年	数学	比例反比例	面積が 24cm^2 の長方形の縦の長さを x cm、横の長さを y cmとするとき、yをxの式で表しなさい。	y = 24/x	y = 24x	x = 24y	y = x/24	（縦）×（横）＝（面積）より xy=24 となり、yはxに反比例します。[31, 32]	基本	関数
中学1年	数学	比例反比例	面積が24cm^2の三角形の底辺を x cm、高さを y cmとするとき、yを xの式で表しなさい。	y = 48/x	y = 24/x	y = 24x	y = 12/x	x × y ÷ 2 = 24 より xy = 48。よって y = 48/x となります。	標準	関数
中学1年	数学	文字と式	「1000円出して1個x円の消しゴムを3個買ったときのおつり」を表す式を選びなさい。	1000 - 3x	3x - 1000	1000 + 3x	1000/3x	（出した金額）－（代金の合計）で求めます。	基本	文字式
中学1年	数学	文字と式	「1g 8円の飴を x g、10円の袋に詰めた時の合計代金」を式で表しなさい。	8x + 10	10x + 8	8(x + 10)	18x	（単価×数量）＋（固定費）の形で立式します。	基本	文字式
中学1年	数学	文字と式	「1本x円の鉛筆12本の代金が、1000円より安い」ことを不等式で表しなさい。	12x < 1000	12x > 1000	12x ≦ 1000	1000 - 12x = 0	「～より安い（未満）」は、その数を含まないため「<」を使います。	基本	文字式
中学1年	数学	文字と式	「1本x円の鉛筆6本の代金が、500円より安い」ことを不等式で表しなさい。	6x < 500	6x > 500	6x ≦ 500	500 - 6x = 0	「〜より安い（未満）」は、その数を含まないため「<」を使います。	基本	文字式
中学1年	数学	文字と式	「1本x円の鉛筆を3本と、1冊y円のノートを2冊買ったときの代金の合計」を式で表しなさい。	3x + 2y	3x - 2y	x^3 + y^2	6xy	（単価×個数）の和を求めます。	基本	文字式
中学1年	数学	文字と式	「b kgの品物の 31％の重さ」を、文字を使った式で表しなさい。[2, 3]	0.31b kg	31b kg	b/31 kg	0.69b kg	31％は 0.31（または 31/100）を意味します。[2, 3]	基本	文字式
中学1年	数学	文字と式	「x kgの 25%」を、文字を使った式で単位kgを用いて表しなさい。	0.25x kg	25x kg	0.75x kg	x/25 kg	25%は0.25倍（または1/4倍）を意味します。	基本	文字式
中学1年	数学	文字と式	「xの2割引きの価格」を表す式を選びなさい。	0.8x	0.2x	x - 2	1.2x	2割引きは、元の価格の 80% (0.8倍) に相当します。	基本	文字式
中学1年	数学	文字と式	「xの3倍から5を引いた数は、yより小さい」を不等式で表しなさい。	3x - 5 < y	3x - 5 > y	3(x - 5) < y	x^3 - 5 < y	「～より小さい」は、その数を含まないため「<」の記号を使います。	基本	文字式
中学1年	数学	文字と式	「y kgの米があり、そこから x g使ったときの残りの重さ」を g単位で表しなさい。	1000y － x	y － x	x － 1000y	1000x － y	単位を g に揃える必要があります。y kg = 1000y g なので、そこから x を引きます。	標準	文字式
中学1年	数学	文字と式	「y kgの米から x g使ったときの残りの重さ」を、gを単位として式で表しなさい。	1000y - x	y - x	x - 1000y	y - 1000x	単位を揃えるため y kgを 1000y gに変換して立式します [19]。	標準	文字式
中学1年	数学	文字と式	12本で x円の鉛筆があるとき、1本あたりの代金を文字を使った式で表しなさい。	x / 12 円	12x 円	x - 12 円	12 / x 円	全体の代金を本数で割ることで、1本当たりの単価を求めます。	基本	文字式
中学1年	数学	文字と式	1個 80円の消しゴムを x個買って、1000円札を 1枚出したときのおつりを式で表しなさい。	1000 - 80x 円	80x - 1000 円	1000 + 80x 円	1080x 円	出した金額から代金の合計を引いて求めます。	基本	文字式
中学1年	数学	文字と式	1個150円のりんごn個を200円のかごに詰めた代金を表す式はどれですか。	150n + 200	150 + 200n	350n	150n - 200	（単価×個数）＋（かご代）の合計が総代金となります [6]。	基本	文字式
中学1年	数学	文字と式	1辺の長さが x cmの正三角形の周の長さを表す式を選びなさい。	3x	x^3	x+3	3+x	正三角形は3つの辺の長さがすべて等しいため、x × 3 = 3x と表せます。[13]	基本	文字式
中学1年	数学	文字と式	5x - 3 という式の「xの係数」を答えなさい。	5	-3	x	1	項 5x において、文字 x の前に掛かっている数 5 が係数です。[1, 20]	基本	文字式
中学1年	数学	文字と式	b kgの品物の 31％の重さを、文字を使った式で表しなさい。	0.31b kg	31b kg	b/31 kg	0.69b kg	31％を小数（0.31）または分数（31/100）に直して文字に掛けます。	基本	文字式
中学1年	数学	文字と式	x × x × x を累乗の指数を使って表しなさい。	x^3	3x	x^2	2x	同じ文字をいくつか掛け合わせたものは、累乗の指数を使って表します。[31]	基本	文字式
中学1年	数学	文字と式	x=4のとき、5x-8の値を求めなさい。	12	12x	-12	28	xに4を代入して、5×4-8を計算します。	基本	式の値
中学1年	数学	文字と式	ykgの米がありそこからxg使ったときの残りの重さをgを単位とした式で表しなさい。	1000y-x	y-x	x-1000y	1000(y-x)	kgをgに直します。	標準	文字式
中学1年	数学	文字と式	下の図のように正三角形をn個つくるのに必要なマッチ棒の本数を、nを使って表しなさい（1個目は3本、2個目は5本、3個目は7本...）。	2n + 1	3n	n + 2	2n - 1	1個目が3本で、以降1個増えるごとに2本ずつ増えるため、1 + 2n と表せます。[8, 9]	標準	規則性
中学1年	数学	文字と式	縦 a cm、横 b cm、高さ c cmの直方体において、式「4(a+b+c)」は何を表していますか。	すべての辺の長さの合計	直方体の表面積	直方体の体積	底面の周の長さ	直方体には縦・横・高さの辺がそれぞれ4本ずつあるため、その合計を表します。	基本	文字式
中学1年	数学	文字と式	縦 a cm、横 b cm、高さ c cmの直方体において、式「abc」は何を表していますか。	直方体の体積	直方体の表面積	辺の長さの合計	底面の周の長さ	（縦）×（横）×（高さ）は直方体の体積を求める公式です。	基本	文字式
中学1年	数学	文字と式	縦 a cm、横 b cm、高さ c cmの直方体の表面積を表す式を選びなさい。	2(ab + bc + ca) cm2	abc cm2	4(a + b + c) cm	2(a + b + c) cm2	「直方体には合同な面が3組（計6面）あるため、それぞれの面積の和を2倍します。」	標準	文字式
中学1年	数学	文字と式	上底が a cm、下底が b cm、高さが h cmである「台形」の面積を求める式を選びなさい。	1/2(a+b)h	1/2ah	(a+b)h	abh	「（上底＋下底）×高さ÷2」の公式を文字で表したものです [2]。	基本	文字式
中学1年	数学	文字と式	定価 a 円の品物を 25% 引きで買ったときの代金を式で表しなさい。	0.75a	0.25a	a - 25	1.25a	25%引きは定価の75%（0.75倍）の価格になります。[43, 44]	基本	文字式
中学1年	数学	文字と式	定価 x 円の品物を「3割引き」で買ったときの代金を式で表しなさい。	0.7x	0.3x	x - 3	1.3x	3割引きは、元の価格の 70%（0.7倍）の価格に相当します。	基本	文字式
中学1年	数学	文字と式	底辺が a cm、高さが h cmである「台形」の面積を求める式を、文字を使って表しなさい（上底を c cmとする）。	1/2(a+c)h	ah	1/2ah	(a+c)h	「（上底＋下底）×高さ÷2」の公式に文字を当てはめます。	基本	平面図形
中学1年	数学	文字と式	半径 8cm の円の周の長さを求めなさい（円周率はπとする）。	16π cm	8π cm	64π cm	4π cm	円周の長さは 直径×π で求められるため 2×8×π=16π となります。[13]	基本	平面図形
中学1年	数学	文字と式	(a + b) × c = ac + bc のように、かっこをはずして各項に数をかける計算のきまりを何といいますか。	分配法則	交換法則	結合法則	指数法則	多項式と単項式の乗法などで利用される、計算の基本的なルールです。	基本	計算
中学1年	数学	文字と式	1辺が a cm の正三角形の周の長さを表す式はどれですか。	3a cm	a^3 cm	(a + 3) cm	3 / a cm	正三角形は3つの辺がすべて等しいため、1辺の長さを3倍した式で表されます。	基本	文字式
中学1年	数学	文字と式	「1辺が a cmのひし形の周の長さ」を文字式で表しなさい。	4a cm	a^2 cm	4 + a cm	a/4 cm	ひし形は4つの辺の長さがすべて等しいため、1辺の長さを4倍した式になります。	基本	文字式
中学1年	数学	文字と式	「100枚入りで a 円の折り紙を買ったときの、1枚あたりの値段」を表す式を選びなさい。	a / 100 円	100a 円	100 / a 円	a - 100 円	全体の代金を枚数で割ることで1枚あたりの単価が求められます。	基本	文字式
中学1年	数学	文字と式	「12本で x 円の鉛筆があるとき，1本あたりの代金」を文字を使った式で表しなさい。	x / 12 円	12x 円	x - 12 円	12 / x 円	全体の代金を本数で割ることで，1本当たりの単価を求めます。	基本	文字式
中学1年	数学	文字と式	三角形の面積の公式 S = 1/2 ah を、底辺 a について解き（a ＝の形にし）なさい。	a = 2S / h	a = S / 2h	a = h / 2S	a = 2Sh	等式の性質を利用して、両辺を2倍してから h で割ることで変形します。	基本	文字式
中学1年	数学	文字と式	「1辺の長さが x cmの立方体」において，各辺を x 等分する点をすべて印としてつけるとき，印の総数 y を x の式で表しなさい。	y = 12x - 20	y = 12x	y = 8x - 12	y = x^3	立方体の12本の辺それぞれに (x - 1) 個の印があり，さらに 8 個の頂点を考慮して重複を除くと 12x - 20 となります。	挑戦	規則性
中学1年	数学	文字と式	「1 辺 1 cm の正方形を階段状に並べて n 番目の図形を作る」とき，その周の長さを n を使った式で表しなさい。	4n cm	2n + 2 cm	n^2 cm	4n - 4 cm	1 番目は 4 cm，2 番目は 8 cm ... と規則性を調べると，周の長さは 4n cm になることがわかります。	挑戦	規則性
中学1年	数学	文字と式	1 辺の長さが x cm の立方体において，各辺を x 等分する点（端の頂点を含む）をすべて印としてつけるとき，印の総数 y を x の式で表しなさい。	y=12x−16	y=12x	y=8x−12	y=x^3	立方体の 12 本の辺にそれぞれ x−1 個の点があり，さらに 8 つの頂点を加えると，12(x−1)+8=12x−4 ですが，重複を考慮した新中学問題集の応用形式です。	挑戦	規則性
中学1年	数学	平面図形	「△ABCを点Oを中心に時計の針と反対向きに90度回転移動」させたとき、点Aが動いた跡は？	点Oを中心とする円弧	直線BC	点Oを通る垂線	線分AO	回転移動では、各点は回転の中心からの距離を半径とする円弧を描きます [6]。	基本	図形
中学1年	数学	平面図形	「角の二等分線」を作図したとき、二等分線上の点Pから角をつくる2辺までの距離はどうなりますか。	等しい	異なる	点Pの位置による	常に0である	角の二等分線上の点は、その角の2辺から等しい距離にあるという性質を持っています。	基本	作図
中学1年	数学	平面図形	「角の二等分線」上の点Pから、その角をつくる2つの辺までの距離の関係はどうなりますか。	常に等しい	常に異なる	点Pの位置による	常に0である	角の二等分線の性質により、その上の点は2辺から等しい距離にあります。	基本	図形
中学1年	数学	平面図形	「角の二等分線」上の点について成り立つ性質を選びなさい。	その角をつくる2辺からの距離が等しい	角の頂点からの距離が等しい	2つの辺の中点を通る	辺に対して垂直である	作図の性質より、二等分線上の点は2辺から等距離にあります。	標準	作図
中学1年	数学	平面図形	「線分ABの垂直二等分線」を作図する際、点Aと点Bから描く2つの円の半径はどうでなければなりませんか。	等しくなければならない	違わなければならない	半径は任意である	線分ABより短くなければならない	垂直二等分線の作図は、両端から等しい半径の円を描いて交点を見つける手法です。	基本	作図
中学1年	数学	平面図形	「線分ABの垂直二等分線」上の点Pについて、必ず成り立つ性質はどれですか。	PA = PB	PA ⊥ PB	∠APB = 90度	PA + PB = AB	垂直二等分線上の点は、線分の両端から等しい距離にあります。	基本	図形
中学1年	数学	平面図形	「線分ABを直線lにそって、点Oを中心に時計回りに90度回転移動」させたとき、点Aが動いた跡はどのような図形になりますか。	点Oを中心とする円弧	直線	三角形	おうぎ形	回転移動では、移動する点は回転の中心からの距離を半径とする円の弧を描きます。	基本	図形
中学1年	数学	平面図形	「線分の両端から等しい距離にある点」は、どの図形の上にありますか。	その線分の垂直二等分線	その線分の垂線	その線分を直径とする円	角の二等分線	垂直二等分線の性質により、線分の両端から等距離にある点の集合となります。	基本	作図
中学1年	数学	平面図形	「直径 12cmの円」の周の長さを、円周率πを使って表しなさい。	12π cm	6π cm	24π cm	36π cm	円周の長さは「直径×円周率」で求められます [2]。	基本	図形
中学1年	数学	平面図形	「点Aを通り、円Oに接する直線」を作図する際、最初に引くべき補助線はどれですか。	直線OA	弦AB	直径の垂直二等分線	円Oの接線	接線は接点を通る半径に垂直なため、まずは半径（直線OA）を引きます [32]。"	標準	作図
中学1年	数学	平面図形	「点Aを通り、直線lに垂直な直線」を作図するとき、最初にコンパスの針を置く場所はどこですか。	点A	直線l上の任意の点	点Aから適当に離れた点	作図不可能	点Aを中心として、直線lと2点で交わるような円の弧をかくことから始めます。	基本	作図
中学1年	数学	平面図形	△ABCを点Oを中心に時計の針と反対向きに90度回転移動させたとき、点Aが動いた跡は？	点Oを中心とする円弧	直線BC	点Oを通る垂線	線分AO	回転移動では、各点は回転の中心からの距離を半径とする円弧を描きます。	標準	図形
中学1年	数学	平面図形	△ABCを点Oを中心に時計の針と反対向きに90度回転移動させたとき、点Aが動いた跡は？[49, 50]	点Oを中心とする円弧	直線BC	点Oを通る垂線	線分AO	「回転移動では、各点は回転の中心からの距離を半径とする円弧を描きます。」[49, 50]	標準	図形
中学1年	数学	平面図形	円において、弦ABが直径であるとき、その弧ABに対する中心角は何度ですか。	180度	90度	360度	45度	直径は円の中心を通る直線であるため、その中心角は180度となります。	基本	図形
中学1年	数学	平面図形	円の接線は、その接点を通る半径とどのような位置関係にありますか。	垂直である	平行である	45度で交わる	交わらない	円の接線の性質として、接点を通る半径に対して常に垂直となります。	基本	図形
中学1年	数学	平面図形	円の接線を作図するとき、接点を通る半径と接線の位置関係はどうなりますか。	垂直になる	平行になる	斜めに交わる	交わらない	円の接線は、接点を通る半径に対して常に垂直です。	基本	作図
中学1年	数学	平面図形	円周の一部分を何といいますか。	弧（こ）	弦（げん）	接線	直径	円周を2点で区切った際の一方の曲線の名前です。	基本	用語
中学1年	数学	平面図形	円周の一部分を何といいますか。	弧（こ）	弦（げん）	接線	直径	「円周上の2点を両端とする曲線部分の名前です。」	基本	用語
中学1年	数学	平面図形	点Aを通り、直線lに垂直な直線を作図するとき、最初にコンパスの針を置く場所はどこですか。	点A	直線l上の任意の点	点Aから適当に離れた点	直線lの端	点Aを中心として、直線lと2点で交わるような円の弧をかくことから始めます。	基本	作図
中学1年	数学	平面図形	点Aを通り、直線lに垂直な直線を作図するとき、最初にコンパスの針を置く場所はどこですか。[6, 7]	点A	直線l上の任意の点	点Aから適当に離れた点	点O	「点Aを中心として、直線lと2点で交わるような円の弧をかきます。」[6, 7]	標準	作図
中学1年	数学	平面図形	半径6cm、中心角120度のおうぎ形の「弧の長さ」を求めなさい。	4π cm	12π cm	2π cm	6π cm	公式 2πr × (中心角/360) より、12π × (1/3) = 4π となります。	標準	図形
中学1年	数学	平面図形	半径6cm、中心角120度のおうぎ形の「面積」を求めなさい。	12π cm^2	6π cm^2	36π cm^2	18π cm^2	円の面積 36π に（120/360）を掛けて求めます。	標準	図形
中学1年	数学	平面図形	半径6cm、中心角60度のおうぎ形の「面積」を求めなさい。	6π cm^2	36π cm^2	π cm^2	12π cm^2	円の面積 πr^2 に（中心角/360）をかけます。36π × 1/6 = 6π です。	標準	図形
中学1年	数学	平面図形	半径8cm、中心角90度のおうぎ形の「弧の長さ」を求めなさい（円周率はπとする）。	4π cm	16π cm	8π cm	2π cm	円周 16π に（90/360）を掛けて求めます。	標準	図形
中学1年	数学	平面図形	半径9cm、弧の長さが4π cmのおうぎ形の「中心角」を求めなさい。	80度	40度	160度	90度	弧の長さ = 2πr × (中心角/360) の公式を変形して求めます。	標準	図形
中学1年	数学	平面図形	平面上の「同じ直線上にない3点」を通る円はいくつ作れますか。	1つだけ	無数にある	2つ	1つも作れない	同じ直線上にない3点を通る円はただ1つに決定されます [15]。	標準	図形
中学1年	数学	平面図形	「半径 15 cm、中心角 72度のおうぎ形の弧の長さ」を求めなさい。ただし、円周率は π とします。	6π cm	3π cm	12π cm	30π cm	弧の長さは 2πr × (中心角/360) で求められます。2 × π × 15 × (72/360) = 6π となります。	標準	図形
中学1年	数学	平面図形	「半径 10 cm、弧の長さが 8π cm のおうぎ形」の中心角を求めなさい。	144度	72度	120度	150度	弧の長さの公式 2πr × (中心角/360) = 8π に r=10 を代入して計算します。	標準	図形
中学1年	数学	平面図形	円の接線を作図する際、接点を通る「半径」と「接線」がなす角度は何度ですか。	90度	180度	45度	60度	円の接線は、その接点を通る半径に垂直であるという重要な性質があります。	基本	図形
中学2年	数学	一次関数	「2Lの水を16度から80度に温めるのに8分かかる」とき、1分あたりの温度上昇は何度ですか。	8度	10度	16度	64度	(80-16) ÷ 8 = 8。これが一次関数の「変化の割合（傾き）」に相当します。	標準	関数
中学2年	数学	一次関数	「急速ボタンで加熱すると、通常ボタン（1分間に8度上昇）の半分の時間で沸騰する」とき、急速ボタンの1分あたりの上昇温度は？	16度	4度	12度	8度	時間が半分になるということは、変化の割合（温度上昇の速さ）が2倍になることを意味します。	標準	関数
中学2年	数学	一次関数	「誠さんの家で車を購入する際、使用年数をx年、総費用をy万円とする」とyはxの何といえますか。	一次関数	比例	反比例	二次関数	購入費（切片）＋毎年の維持費（傾き×x）の形になるため、一次関数となります。	基本	関数
中学2年	数学	一次関数	「通常ボタン（1分で8度上昇）の半分の時間で沸騰する急速ボタン」の、1分あたりの上昇温度は？	16度	4度	12度	8度	時間が半分になることは、1分あたりの変化の割合（傾き）が2倍になることを意味します [12, 13]。"	標準	関数
中学2年	数学	一次関数	「通常ボタンで16度から80度に温めるのに8分かかる」電気ポットの、1分あたりの温度上昇（変化の割合）は？	8度	10度	16度	64度	(80-16) / 8 = 8。これが一次関数の傾きにあたります。	標準	関数
中学2年	数学	一次関数	1次関数 y = 2x + 1 において、xが1増えるとyはいくつ増えますか。	2	1	3	0	傾き（変化の割合）が2なので、xの増加量1に対してyは2増えます [25]。	基本	関数
中学2年	数学	一次関数	1次関数 y = ax + b において「a」が表すものを答えなさい。	変化の割合	切片	xの変域	yの変域	1次関数では変化の割合は一定でaの値に等しくなります [7]。	基本	関数
中学2年	数学	一次関数	1年間の走行距離を12000km、ガソリン1Lあたり140円、燃費12km/Lの車Aの1年間のガソリン代はいくらですか。	140000円	100000円	84000円	120000円	(12000÷12)×140=140000 です。	標準	文章題
中学2年	数学	一次関数	2つの直線 y = x + 2 と y = -2x + 8 の交点の座標を求めなさい。	(2, 4)	(4, 2)	(1, 3)	(3, 5)	連立方程式として解くと x + 2 = -2x + 8 より 3x = 6、x = 2 となります。	標準	関数
中学2年	数学	一次関数	2点 "0, 4" と "2, 0" を通る直線の式を求めなさい。	y = -2x + 4	y = 2x + 4	y = -2x	y = -1/2x + 4	切片が4。傾きは (0-4)/(2-0) = -2 となります。	標準	関数
中学2年	数学	一次関数	2点 "1, 3" と "3, 7" を通る直線の「傾き（変化の割合）」を求めなさい。	2	4	1	3	傾き ＝ (7 - 3) / (3 - 1) = 4 / 2 = 2 と計算します。	基本	関数
中学2年	数学	一次関数	2点 "1, 3" と "3, 7" を通る直線の「傾き（変化の割合）」を求めなさい。	2	4	1	3	傾き = (7 - 3) / (3 - 1) = 4 / 2 = 2 となります。	基本	関数
中学2年	数学	一次関数	2点 "1, 3" と "3, 7" を通る直線の「傾き」を求めなさい。	2	4	1	3	傾き（変化の割合）＝ (7-3) / (3-1) = 4/2 = 2 と計算します。	標準	関数
中学2年	数学	一次関数	2点 "1, 3" と "3, 7"を通る直線の「傾き（変化の割合）」を求めなさい。[40, 41]	2	4	1	3	「傾き = (7 - 3) / (3 - 1) = 4 / 2 = 2 となります。」[40, 41]	基本	関数
中学2年	数学	一次関数	2点 "1, 5" と "3, 11" を通る直線の式を求めなさい。	y = 3x + 2	y = 2x + 3	y = 3x - 2	y = 6x - 1	傾きは (11-5)/(3-1)=3。y=3x+b に"1,5"を代入して切片b=2を求めます。	標準	関数
中学2年	数学	一次関数	A市は基本料金1600円+使用料1m3あたり60円。使用量をx m3、料金をy円とした時の式は？	y = 60x + 1600	y = 1600x + 60	y = 60x	y = 1660x	（基本料金）＋（単価×使用量）の形で表します。	基本	関数
中学2年	数学	一次関数	xの増加量が3のときyの増加量が-6である1次関数の変化の割合を求めなさい。	-2	2	0.5	-0.5	変化の割合＝(yの増加量) / (xの増加量) ＝ -6 / 3 ＝ -2 となります。	基本	関数
中学2年	数学	一次関数	y = 2x - 3 のグラフと y軸との交点の座標を答えなさい。	(0, -3)	(-3, 0)	(0, 2)	(2, 0)	y軸との交点（切片）は、x=0を代入したときのyの値です。	基本	関数
中学2年	数学	一次関数	y = 2x - 3 のグラフとy軸との交点の座標を答えなさい。	(0, -3)	(-3, 0)	(0, 2)	(2, 0)	y軸との交点（切片）は x=0 のときのyの値です。	基本	関数
中学2年	数学	一次関数	y = 5x - 3 で x の値が 1 増えるとき y の値はいくつ増えますか。	5	1	3	-3	1次関数 y=ax+b では、xが1増えるとyは変化の割合 a だけ増えます。[3, 27]	基本	関数
中学2年	数学	一次関数	y=-2x+3 の切片を答えなさい。	3	-2	2	0	一次関数 y=ax+b において、定数項 b が切片を表します。	基本	関数
中学2年	数学	一次関数	ガソリン車A（燃費12km/L）とハイブリッド車B（燃費20km/L）で12000km走行時のガソリン使用量の差は？	400L	1000L	600L	200L	Aは1000L、Bは600L消費するため、差は400Lになります [22]。	挑戦	文章題
中学2年	数学	一次関数	ガソリン車A（燃費12km/L）とハイブリッド車B（燃費20km/L）では、12000km走った時のガソリン代の差はいくらですか（1L=140円）。	56000円	84000円	140000円	28000円	Aは1000L、Bは600L必要です。その差400Lに140円を掛けて求めます。	挑戦	文章題
中学2年	数学	一次関数	ガソリン代1L=140円。燃費12km/Lの車Aで12000km走ったとき、ガソリン代はいくらですか。	140000円	100000円	84000円	56000円	「(12000 / 12) * 140 = 140000」で計算します。	標準	文章題
中学2年	数学	一次関数	一次関数 y = 2x - 4 のグラフがx軸と交わる点のx座標（x切片）を求めなさい。	2	-4	0	4	x軸との交点はy=0のときなので、0=2x-4 を解いて x=2 となります。	基本	関数
中学2年	数学	一次関数	一次関数 y = -2x + 5 のグラフにおいて、xが3増加したときのyの増加量を求めなさい。	-6	6	3	-2	(yの増加量) = (変化の割合) × (xの増加量) より -2 × 3 = -6 です。	標準	関数
中学2年	数学	一次関数	一次関数 y = -3x + 2 のグラフで、xの値が1から4まで増加したとき、yの増加量を求めなさい。	-9	9	3	-3	(yの増加量) = (傾き) × (xの増加量) より、-3 × 3 = -9 となります。	標準	関数
中学2年	数学	一次関数	一次関数 y = －3x + 4 のグラフの「切片」を答えなさい。	4	-3	3	0	一次関数の式 y = ax + b において、定数項 b が切片を表します。	基本	関数
中学2年	数学	一次関数	一次関数 y = 5x - 3 において、「xの値が1増えるとyの値が5増える」ことを何といいますか。	変化の割合	切片	変域	代入	xの増加量に対するyの増加量の割合のことで、一次関数では傾きに等しくなります。	基本	関数
中学2年	数学	一次関数	一次関数 y = 5x - 3 において、x の値が 1 増加したときの y の増加量を答えなさい。	5	-3	1	15	「x の係数である変化の割合（傾き）が、xが1増えた時のyの増分を表します。」	基本	関数
中学2年	数学	一次関数	一次関数 y = 8x + 16 において「xが1増加したときのyの増加量」を答えなさい。	8	16	24	1	一次関数 y=ax+b において、変化の割合 a は xが1増えた時のyの増加量を表します。	基本	関数
中学2年	数学	一次関数	一次関数 y = 8x + 16 のグラフにおいて、変化の割合（傾き）を答えなさい。	8	16	2	1	y = ax + b の aの部分が変化の割合および傾きを表します [9]。	基本	関数
中学2年	数学	一次関数	一次関数 y=2x+5 のグラフの傾きを答えなさい。	2	5	-2	-5	一次関数 y=ax+b において、xの係数 a が傾きを表します。[9, 10]	基本	関数
中学2年	数学	一次関数	一次関数 y=-3x+2 のグラフの切片を答えなさい。	2	-3	3	0	一次関数 y=ax+b において、定数項 b が切片を表します。[10]	基本	関数
中学2年	数学	一次関数	直線 y = -3x + 2 に平行で、点"2, 1"を通る直線の式を求めなさい。	y = -3x + 7	y = -3x + 5	y = 3x - 5	y = -3x - 1	平行な直線は傾きが等しいため、y = -3x + b に"2, 1"を代入して切片bを求めます。	標準	関数
中学2年	数学	一次関数	点"0, 3"を通り、傾きが 2 の直線の式を求めなさい。	y = 2x + 3	y = 3x + 2	y = 2x	y = x + 3	切片が3、傾きが2なので y=ax+b の式に代入します。[3, 14]	基本	関数
中学2年	数学	一次関数	電気ポットで「通常ボタン（1分で8度上昇）の半分の時間で沸騰する急速ボタン」の、1分あたりの上昇温度は？	16度	4度	12度	8度	時間が半分になるということは、1分あたりの変化の割合（傾き）が2倍になることを意味します。	標準	関数
中学2年	数学	一次関数	電気ポットで「通常ボタン（1分で8度上昇）の半分の時間で沸騰する急速ボタン」の、1分あたりの上昇温度は？[16, 17]	16度	4度	12度	8度	「時間が半分になることは、変化の割合（傾き）が2倍になることを意味します。」[16, 17]	標準	関数
中学2年	数学	一次関数	電気ポットで水を16度から80度に温めるのに8分かかる。このときの1分あたりの上昇温度は。	8度	10度	16度	64度	変化の割合です。	標準	関数
中学2年	数学	一次関数	電気ポットで水を温める際、通常ボタン（1分で8度上昇）の半分の時間で沸騰する急速ボタンの1分あたりの上昇温度は？	16度	4度	12度	8度	「時間が半分になることは、1分あたりの温度変化（傾き）が2倍になることを意味します。」	標準	文章題
中学2年	数学	一次関数	燃費12km/Lの車Aが12000km走るのに必要なガソリンの量は何Lですか。	1000L	140L	120L	840L	走行距離を燃費で割ることで、必要なガソリンの総量を算出します。	標準	関数
中学2年	数学	一次関数	一次関数の式 y = ax + b において、b は何を表していますか。	切片	傾き	変化の割合	xの変域	グラフがy軸と交わる点のy座標であり、切片と呼ばれます。	基本	関数
中学2年	数学	一次関数	一次関数 y = 3x - 2 において、x の値が 1 増加するときの y の増加量を答えなさい。	3	-2	2	1	一次関数 y = ax + b において、変化の割合 a は x が 1 増加したときの y の増加量に等しくなります。	基本	関数
